,Tseas0noise,Tseas0.1noise,Tseas1noise,Tseas2noise,Tseas4noise,Tseas10noise,EVAP,SMELT,PRECTOT,PRECSNO
2000-01-01,248.21084778284785,248.21268900836196,248.37792669463295,248.98404374985478,250.67601381873584,250.65935242954453,0,0,0.08333333333333333,0.08333333333333333
2000-02-01,256.9655105586534,257.0188398424905,257.6861043058672,258.64983007326276,260.6879232756843,266.03532773923683,0,0,0.08333333333333333,0.08333333333333333
2000-03-01,262.04155058520877,262.1106785864281,262.76635225504566,263.8121994005492,262.4318230863166,262.65661206243016,0,0,0.08333333333333333,0.08333333333333333
2000-04-01,262.14438041371625,262.2358746388172,262.2711881472563,262.47359349675946,263.49537633343743,267.10922160286884,0,0,0.08333333333333333,0.08333333333333333
2000-05-01,257.064932306475,257.16343365808,257.38721543348447,257.6886727483426,257.99658930758807,259.7545730389797,0,0,0.08333333333333333,0.08333333333333333
2000-06-01,248.2150201523383,248.26077326701514,248.3849951118513,249.02163160115242,248.54427457365986,249.23606069384888,0,0,0.08333333333333333,0.08333333333333333
2000-07-01,237.95343087489368,238.0186643608189,238.45217543948004,238.3678677412071,240.39369069809575,246.35370156882706,0,0,0.08333333333333333,0.08333333333333333
2000-08-01,228.935233672246,229.0290105786348,229.78650308833357,230.62974637303228,231.9859422445051,230.22981728182558,0,0,0.08333333333333333,0.08333333333333333
2000-09-01,223.85567897721944,223.93792456884285,224.73373800695867,224.43326247176867,227.06273643724248,232.75626700953558,0,0,0.08333333333333333,0.08333333333333333
2000-10-01,223.95838614114362,224.0257215351372,224.4392583579887,225.59885090778982,224.16162219168373,226.95167040202523,0,0,0.08333333333333333,0.08333333333333333
2000-11-01,229.16568384878707,229.17919102440536,229.26807089043524,229.22829191258487,230.20173378140524,236.98337655670744,0,0,0.08333333333333333,0.08333333333333333
2000-12-01,238.1178544537136,238.17981515933346,238.62439261336246,238.25010382866705,241.07488266764528,240.60127035875234,0,0,0.08333333333333333,0.08333333333333333
2001-01-01,248.53823487043397,248.59947351656538,248.5766494355563,250.20531059711942,251.66740178343764,249.82484562581786,0,0,0.08333333333333333,0.08333333333333333
2001-02-01,257.0956710075219,257.1269543794014,257.6681980439025,258.3871737604045,260.31069701814954,258.61025009629446,0,0,0.08333333333333333,0.08333333333333333
2001-03-01,262.04155058520877,262.0526783170155,262.06414493622884,262.409228171579,262.37380826950294,269.11844732110325,0,0,0.08333333333333333,0.08333333333333333
2001-04-01,262.14438041371625,262.1503352722261,262.3877626171312,263.7382749707716,263.390355270513,269.43804736074435,0,0,0.08333333333333333,0.08333333333333333
2001-05-01,257.064932306475,257.10621546671274,257.5232581058067,258.6062691424658,260.8654221432328,261.9359373260083,0,0,0.08333333333333333,0.08333333333333333
2001-06-01,248.21502015233833,248.2217458818711,249.07470036058112,248.68970015095528,250.13274873807885,252.9236177984991,0,0,0.08333333333333333,0.08333333333333333
2001-07-01,237.95343087489368,238.04233257404238,238.24758019904917,238.2962729761456,241.19616332998274,245.1671871414464,0,0,0.08333333333333333,0.08333333333333333
2001-08-01,228.935233672246,229.0011419461657,229.31789513409268,230.02879738039553,229.05564388546006,234.05903678280305,0,0,0.08333333333333333,0.08333333333333333
2001-09-01,223.85567897721944,223.88828203051872,224.66646171791848,224.73729214553435,225.5731413095404,233.59119074086064,0,0,0.08333333333333333,0.08333333333333333
2001-10-01,223.95838614114362,223.97887487334052,224.81831435982556,225.42373713752323,224.97700218390358,226.88423333371713,0,0,0.08333333333333333,0.08333333333333333
2001-11-01,229.16568384878707,229.22435428369997,229.64591954444418,230.8456121493229,232.8022184367113,232.9487128187281,0,0,0.08333333333333333,0.08333333333333333
2001-12-01,238.1178544537136,238.19079468799956,239.10152079551443,239.74186689110013,241.91111871893042,238.1497454306896,0,0,0.08333333333333333,0.08333333333333333
2002-01-01,248.53823487043397,248.57183016693824,248.6965587788501,249.43589943296618,248.92906717681035,252.6271839343332,0,0,0.08333333333333333,0.08333333333333333
